# GameXXK 正文字体切换：逐调用点排版角色表
# 列：相对路径 <TAB> 原始行号 <TAB> Title|Body|Manual <TAB> 理由
# Title = 保留江湖古风体；Body = 换成荆南圆体（KeinannMaruPOP，2026-09-12替换芝士奶盖乌龙宋）；Manual = 由带角色参数的 helper 手工迁移
# 行号对应 Saved/Diagnostics/fontcallsites.txt 的 2026-09-12 快照；脚本按文件内调用点顺序对齐，故行号仅作对照。
# 主界面大按钮（底部导航盘、教程/任务、挑战/游历）不在本表内：它们由工作台 MakeTitleButtonText 直接分派。
#
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	740	Manual	MakeTextBlock：按Style.bDisplayBodyFont分派（短提示Title/长正文Body）
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	758	Body	MakePill药丸文字
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	779	Manual	MeasureText：必须与740同分派
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	1192	Title	卡面名helper：卡名与装备名
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	1867	Body	战报日志正文（展开18/收起14）
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7168	Body	演出大数字86
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7213	Body	敌方/1P侧标
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7225	Body	侧标槽位序号数字
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7331	Title	意图详情面板标题
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7368	Body	战报开合按钮符号
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7373	Body	战报标签caption
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7382	Body	战报正文18
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7396	Body	地势反馈提示
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7488	Body	结束回合按钮
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7509	Body	自动战斗按钮
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7533	Body	关闭按钮
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7573	Title	手牌详情面板标题
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7683	Body	跳过奖励按钮
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7719	Body	待选面板提示
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7833	Title	退出战斗弹窗标题
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	7993	Body	行动按钮标签
Source/GameXXK/Private/UI/GameXXKBattleBoardWidget.cpp	9158	Title	卡牌提示标题=卡名
